Province_compare,City,Latitude,Longitude,Address
ab,calgary,50.962515,-114.058985,willowpark-shopping-plaza
ab,calgary,50.9521,-114.001572,douglas-square-phase-1
ab,calgary,50.978369,-114.084015,8423-elbow-dr-sw
ab,calgary,50.97895,-114.041076,8180-11th-st-se
ab,calgary,50.995778,-114.118961,100-6449-crowchild-trail-sw
ab,calgary,50.99838,-114.073534,chinook-centre-food-court
ab,calgary,51.011909,-114.132088,4825-richard-road-sw
ab,calgary,50.993453,-113.95757,5308-68th-ave-se
ab,blackfalds,52.36893,-113.79632,605-4500-blackfalds-crossing-way
ab,red-deer,52.291306,-113.812994,21-6791-gaetz-avenue
ab,red-deer,52.287433,-113.76393,2110-90-thorburn-ave
ab,lacombe,52.467701,-113.722968,5263-45th-street
ab,red-deer,52.262164,-113.81458,4202-gaetz-ave
ab,red-deer,52.254949,-113.764306,69-dunlop-st
ab,red-deer,52.24313,-113.809614,bower-place-shopping-centre-unit-210
ab,red-deer,52.234619,-113.813099,1939-50th-avenue
ab,red-deer,52.2143192,-113.8174409,174-leva-ave
ab,sylvan-lake,52.308943,-114.09214,4605-50th-ave
ab,penhold,52.140167,-113.868987,15-hawkridge-blvd
ab,ponoka,52.677298,-113.589763,4810-highway-2a
ab,bonnyville,54.267684,-110.733312,4710-50-ave
ab,cold-lake,54.409061,-110.20438,4605-50th-st
ab,brooks,50.573162,-111.901138,645-4th-st-w
ab,calgary,51.039678,-114.082092,1403-8th-street-sw
ab,calgary,51.046274,-114.145472,4105-bow-trail-sw
ab,calgary,51.056962,-113.978287,46-3800-memorial-dr-ne
ab,calgary,51.037486,-113.968128,4601-17th-avenue-se
ab,calgary,51.074591,-114.167057,1701-49th-st-nw
ab,calgary,51.053082,-113.943636,6060-memorial-dr-ne
ab,camrose,53.01796,-112.861961,6227-48-ave
ab,wetaskiwin,52.964956,-113.389661,4415-56th-st
ab,canmore,51.09593,-115.356964,1606-bow-valley-trail
ab,cardston,49.197273,-113.302098,385-main-st
ab,chestermere,51.0473255,-113.8292879,unit-301-100-marina-dr
ab,langdon,50.978698,-113.67888,704-centre-a-st-nw
ab,claresholm,50.014692,-113.577851,4075-1a-st-w
ab,fort-macleod,49.723106,-113.391334,2114-8th-ave
ab,nanton,50.342714,-113.76603,2708-20th-ave
ab,coaldale,49.72937,-112.611345,1212-19a-ave
ab,lethbridge,49.680328,-112.804477,1152-mayor-magrath-dr-s
ab,lethbridge,49.706224,-112.824426,516-13th-st-n
ab,lethbridge,49.698756,-112.840513,park-place-shopping-center
ab,lethbridge,49.6754758,-112.8744918,west-village-mall
ab,raymond,49.465806,-112.670911,275-w-200-n
ab,taber,49.784661,-112.128972,6050-46th-ave
ab,cochrane,51.191783,-114.488501,14-westside-dr
ab,calgary,51.066588,-114.210623,115-722-85-street-sw
ab,edmonton,53.494268,-113.666545,hampton-market
ab,edmonton,53.502784,-113.628949,6655-178th-street-nw-unit-626
ab,edmonton,53.52417,-113.66591,834-webber-greens-dr-nw
ab,edmonton,53.522458,-113.618934,8770-170th-st-unit-q179
ab,edmonton,53.522524,-113.619072,8770-170th-st-unit-west-edmonton
ab,edmonton,53.542023,-113.631554,17904-stony-plain-rd
ab,edmonton,53.539661,-113.590923,10018-156th-st
ab,didsbury,51.66604,-114.13856,2412-20th-st
ab,olds,51.795451,-114.104198,5004-46-st
ab,sundre,51.79587,-114.64793,556-main-avenue-west
ab,drayton-valley,53.227803,-114.976135,5501-50th-street
ab,drumheller,51.452301,-112.699586,1102a-highway-9-s
ab,edmonton,53.55406,-113.493283,10859-101st-st
ab,edmonton,53.541247,-113.514781,11214-jasper-ave
ab,edmonton,53.564216,-113.552978,13356-114th-ave
ab,edmonton,53.602411,-113.445591,londonderry-mall-fc11
ab,edmonton,53.602373,-113.542155,12708-140-ave-nw
ab,edmonton,53.570095,-113.394208,3415-118-ave-nw
ab,edmonton,53.607481,-113.459486,7630-144th-ave
ab,edmonton,53.619211,-113.490813,15837-97th-st
ab,edmonton,53.599812,-113.395577,clareview-shopping-centre
ab,edmonton,53.631866,-113.540576,16981-127th-st
ab,edson,53.579475,-116.438125,5305-2-ave
ab,fairview,56.064324,-118.388252,11014-100th-ave
ab,fort-mcmurray,56.73206,-111.427771,11-101-signal-rd
ab,fort-mcmurray,56.754097,-111.429977,255-eagle-ridge-blvd
ab,fort-saskatchewan,53.707003,-113.219461,9910-99th-ave
ab,edmonton,53.628234,-113.410674,4939-167-ave-nw
ab,gibbons,53.828042,-113.33264,4820-50th-avenue
ab,sherwood-park,53.541734,-113.290221,20-cranford-way
ab,st-albert,53.641096,-113.626236,a-388-st-albert-rd
ab,st-albert,53.669104,-113.636132,505-935-st-albert-trl
ab,morinville,53.785262,-113.646392,8807-100th-st-unit-1
ab,grande-prairie,55.175513,-118.795513,10004-105th-ave
ab,grande-prairie,55.141099,-118.776295,9509-68th-ave
ab,grand-prairie,55.15561,-118.84542,11525-84-avenue
ab,grande-cache,53.891573,-119.114699,9910-shand-ave
ab,high-level,58.512934,-117.133094,10302-97-st
ab,high-prairie,55.43284,-116.49976,5112-53rd-avenue
ab,hinton,53.386566,-117.619747,804-carmichael-ln
ab,innisfail,52.027126,-113.940716,4503-50th-street
ab,rimbey,52.64868,-114.22232,5221-43rd-street
ab,strathmore,51.038154,-113.392891,210-ridge-road
ab,lloydminster,53.278329,-110.018663,5502-44th-st
ab,medicine-hat,50.037875,-110.679991,375-3rd-st-se
ab,medicine-hat,50.050006,-110.687945,50-8th-street-nw
ab,medicine-hat,50.01028,-110.649387,3073-dunmore-rd-se
ab,medicine-hat,49.996091,-110.644069,southland-shopping-ctr
ab,peace-river,56.233614,-117.339137,7718-100th-ave
ab,pincher-creek,49.496976,-113.946487,1311-freebairn-ave
ab,rocky-mountain-house,52.371255,-114.9097,4747-45th-street
ab,slave-lake,55.27116,-114.78163,1500-main-st-sw
ab,spruce-grove,53.542348,-113.927171,10-172-highway-16a
ab,stony-plain,53.5418999,-113.9802276,68-boulder-blvd
ab,st-paul,53.99138,-111.28958,4706-50-ave
ab,stettler,52.324815,-112.720522,5809-50-ave
ab,valleyview,55.050254,-117.28316,3808-highway-st-unit-3
ab,vegreville,53.492746,-112.047236,4790-50th-ave
ab,wainwright,52.843076,-110.829556,2840-13-avenue-50
ab,whitecourt,54.126338,-115.665084,3839-caxton-st
bc,100-mile-house,51.645775,-121.296959,170-caribou-hwy
bc,abbotsford,49.049056,-122.33993,31911-s-fraser-way
bc,abbotsford,49.03638,-122.266993,34596-delair-road
bc,mission,49.133327,-122.317777,32753-lougheed-hwy
bc,aldergrove,49.058007,-122.477738,104-26930-fraser-hwy
bc,sardis,49.106981,-121.960518,vedder-village-mall
bc,langley,49.10499,-122.659929,20300-fraser-highway
bc,langley,49.145259,-122.648104,20678-willoughby-town-centre-dr
bc,langley,49.113833,-122.669989,1-6131-200-st
bc,maple-ridge,49.216866,-122.599226,22490-lougheed-hwy
bc,chilliwack,49.166847,-121.95311,9055-young-rd
bc,langley,49.163132,-122.662008,2-20177-88-ave
bc,maple-ridge,49.218342,-122.653459,20492-lougheed-hwy
bc,surrey,49.103926,-122.731861,17720-56-ave
bc,surrey,49.039585,-122.801602,2071-152-st
bc,surrey,49.105249,-122.800429,5630-152-st
bc,surrey,49.168586,-122.8009678,9110-152-st
bc,surrey,49.189641,-122.803774,1374-guildford-town-centre-unit-1414
bc,surrey,49.131595,-122.839139,205-7115-138th-st
bc,surrey,49.198963,-122.813902,14741-108-ave
bc,surrey,49.174263,-122.845463,9436-king-george-hwy
bc,surrey,49.186675,-122.848979,2591-10153-king-george-hwy
bc,delta,49.1184,-122.89048,6345-120-st
bc,armstrong,50.444804,-119.183453,3110-smith-dr
bc,vernon,50.273737,-119.273395,4209-32-st
bc,salmon-arm,50.707595,-119.256669,1121-25th-st-ne
bc,burnaby,49.268336,-123.00051,4567-lougheed-highway
bc,burnaby,49.227312,-123.000185,metropolis-at-metrotown
bc,burnaby,49.225747,-122.997941,metropolis-at-metrotown
bc,burnaby,49.280154,-122.96653,6572-hastings-st
bc,burnaby,49.281198,-123.012029,103-4191-hastings-st
bc,vancouver,49.235895,-123.044733,2940-kingsway-ave
bc,new-westminster,49.212,-122.922157,708-6th-ave
bc,vancouver,49.281209,-123.046688,2805-hastings-st-e
bc,burnaby,49.251051,-122.895937,9855-austin-ave
bc,vancouver,49.239082,-123.065043,4990-victoria-dr
bc,vancouver,49.230873,-123.0909,5907-fraser-st
bc,coquitlam,49.235679,-122.864923,1085-lougheed-highway
bc,vancouver,49.259433,-123.100814,2888-main-st
bc,vancouver,49.279638,-123.117434,438-robson-st
bc,vancouver,49.282643,-123.117632,pacific-centre-ibm-bldg
bc,vancouver,49.274005,-123.122317,1217-pacific-blvd
bc,north-vancouver,49.3372209,-123.039474,1260-lynn-valley-rd
bc,port-moody,49.276463,-122.835224,3141-st-johns-st
bc,north-vancouver,49.323681,-123.10307,1039-marine-dr
bc,cache-creek,50.809833,-121.32501,1109-trans-canada-hwy
bc,campbell-river,50.029197,-125.246207,1250-dogwood-st
bc,castlegar,49.299877,-117.654462,604-18th-st
bc,trail,49.0968,-117.7109,898-victoria-street
bc,nelson,49.505571,-117.279087,724-nelson-ave
bc,rosedale,49.184916,-121.76372,52964-yale-road
bc,clearwater,51.651335,-120.034647,318-eden-rd
bc,coquitlam,49.279808,-122.798934,2929-barnett-highway
bc,port-coquitlam,49.261848,-122.781803,2550c-shaughnessy-st
bc,port-coquitlam,49.271639,-122.755356,1475-prairie-ave
bc,surrey,49.15113,-122.88964,8140-120-st-unit-106
bc,courtenay,49.688474,-124.995074,1030-cliffe-ave
bc,powell-river,49.842075,-124.518159,7055-barnet-street
bc,cranbrook,49.526247,-115.752249,1501-cranbrook-st-n
bc,creston,49.095706,-116.50436,1804-canyon-st
bc,dawson-creek,55.757344,-120.225844,821-102nd-ave
bc,delta,49.08988,-123.08074,5124-ladner-trunk-rd
bc,delta,49.030859,-123.069265,1555-56-st
bc,richmond,49.148854,-123.136068,8980-no-3-rd-unit-105
bc,richmond,49.165619,-123.136696,1708-6551-no-3-rd
bc,richmond,49.126713,-123.181215,11099-no-1-rd-unit-140
bc,vancouver,49.23477,-123.159429,2293-41st-ave-w
bc,duncan,48.77744,-123.6983,328-trans-canada-highway
bc,ladysmith,48.977181,-123.80276,365-davis-rd
bc,sidney,48.647433,-123.403442,2323-bevan-ave
bc,victoria,48.464232,-123.50117,703-treanor-ave
bc,fernie,49.499156,-115.079516,1610-mcdonald-ave
bc,fort-st-john,56.247592,-120.848496,10032-101-ave
bc,golden,51.317069,-116.974491,1409-trans-canada-hwy
bc,grand-forks,49.030038,-118.454456,1555-central-ave-hwy-3
bc,hope,49.378408,-121.443606,817-water-st
bc,invermere,50.514673,-116.026017,350-laurier-st
bc,kamloops,50.675489,-120.321062,811-victoria-st
bc,kamloops,50.67606,-120.290005,1789-trans-canada-hwy
bc,kamloops,50.704675,-120.364378,1075-8th-street-north
bc,kamloops,50.651858,-120.381652,1517-hugh-allan-dr
bc,kelowna,49.883112,-119.477495,1740-gordon-dr
bc,kelowna,49.860758,-119.490923,3141-lakeshore-rd
bc,west-kelowna,49.88044,-119.536155,900-525-highway-97-s
bc,kelowna,49.901138,-119.450526,1936-summit-drive
bc,kelowna,49.879346,-119.439854,orchard-park-shopping-ctr
bc,kelowna,49.889355,-119.396778,570-highway-33-w
bc,kelowna,49.953763,-119.38906,400-1756-pier-mac-way
bc,west-kelowna,49.827935,-119.635379,2557-dobbin-rd
bc,lake-country,50.028809,-119.404961,8-10074-highway-97
bc,summerland,49.602465,-119.665717,7519-prairie-valley-rd
bc,kitimat,54.053486,-128.651625,329-city-centre
bc,nanaimo,49.156422,-123.93443,280-nicol-st
bc,nanaimo,49.20492,-124.002644,3190-island-highway-n-hwy
bc,nanaimo,49.236359,-124.050483,woodgrove-centre
bc,nanaimo,49.239306,-124.050134,6888-island-highway
bc,merritt,50.123976,-120.760833,3673-voght-st
bc,parksville,49.320536,-124.310261,154-east-island-highway
bc,west-vancouver,49.325292,-123.140812,f5-2002-park-royal-s
bc,west-vancouver,49.328254,-123.161642,hollyburn-plaza
bc,vancouver,49.264207,-123.164898,2601-broadway-w
bc,vancouver,49.256762,-123.184918,3380-dunbar-st
bc,oliver,49.185752,-119.55076,6422-main-st
bc,osoyoos,49.029161,-119.44633,5914-main-st
bc,penticton,49.483063,-119.586037,1449-main-st
bc,port-alberni,49.239495,-124.80727,3447-3rd-ave
bc,prince-george,53.920134,-122.756367,1924-3rd-ave
bc,prince-george,53.868316,-122.778413,5090-domano-blvd
bc,princeton,49.457532,-120.50749,158-tapton-ave
bc,quesnel,52.979337,-122.495699,275-st-laurent-ave
bc,revelstoke,51.009654,-118.20989,1730-trans-canada-highway-1
bc,sicamous,50.837515,-118.968317,907-trans-canada-highway
bc,victoria,48.469649,-123.364035,saanich-centre
bc,victoria,48.449993,-123.426258,101-1517-admirals-rd
bc,victoria,48.444443,-123.335527,1605-hillside-ave
bc,victoria,48.435001,-123.365413,2350-douglas-st
bc,victoria,48.435334,-123.489053,2205-sooke-road
bc,victoria,48.431963,-123.321925,2013-cadboro-bay-rd
bc,smithers,54.787823,-127.17363,4180-frontage-rd
bc,squamish,49.723085,-123.151134,1257-commercial-way
bc,terrace,54.518067,-128.590287,4643-park-ave
bc,whistler,50.11855,-122.955939,106-4338-main-st-rr-4
bc,williams-lake,52.125963,-122.121681,1218-broadway-ave-s
mb,brandon,49.835791,-99.962185,904-18th
mb,brandon,49.866482,-99.96045,915-18th-st-n-unit-1
mb,dauphin,51.135466,-100.062154,1450-main-st-s
mb,east-st-paul,49.975083,-97.008134,1-3156-birds-hill-rd
mb,winnipeg,49.98329,-97.09683,889-kapelus-dr
mb,winnipeg,49.936,-97.095282,1030-henderson-hwy
mb,winnipeg,49.898913,-97.066127,1-1575-regent-ave-w
mb,winnipeg,49.895765,-97.002282,100-victoria-ave-e
mb,winnipeg,49.9408,-97.1583,1385-mcphillips-st-unit-7
mb,winnipeg,49.894403,-97.111439,396-provencher-blvd
mb,winnipeg,49.943583,-97.195521,1020-keewatin-st
mb,winnipeg,49.896796,-97.170927,836-sargent-ave
mb,winnipeg,49.85902,-97.107109,152-st-annes-rd
mb,winnipeg,49.884878,-97.175271,981-portage-ave
mb,winnipeg,49.883833,-97.199022,polo-park-shopping-centre
mb,winnipeg,49.844287,-97.113062,920-st-marys-rd
mb,winnipeg,49.828958,-97.110051,st-vital-centre
mb,winnipeg,49.857798,-97.20432,1871-grant-ave
mb,navin,49.821905,-96.937199,22-birkett-way
mb,winnipeg,49.822361,-97.150249,1876-pembina-highway
mb,winnipeg,49.842396,-97.218531,669-sterling-lyon-parkway
mb,winnipeg,49.877984,-97.271547,2677-portage-ave
mb,selkirk,50.14113,-96.878427,307-main-st
mb,gimli,50.632,-96.99185,64-centre-street
mb,morden,49.192068,-98.110015,650-thornhill-st
mb,winkler,49.190817,-97.938817,785-main-st
mb,winnipeg,49.816435,-97.195484,165-scurfield-blvd
mb,neepawa,50.226664,-99.473357,103-main-st-e
mb,niverville,49.605871,-97.058168,40-drover-run-unit-6
mb,steinbach,49.539826,-96.686985,103-pth-12-n
mb,portage-la-prairie,49.973458,-98.293943,200-saskatchewan-ave-w
mb,swan-river,52.105637,-101.268555,612-main-st
mb,the-pas,53.823179,-101.249804,the-uptown-mall
mb,thompson,55.742617,-97.852172,50-selkirk-ave-unit-38
nb,atholville,47.996455,-66.708862,84-rue-notre-dame
nb,bathurst,47.62842,-65.66519,435-st-peter-avenue
nb,dieppe,46.095348,-64.760743,champlain-place
nb,dieppe,46.098754,-64.733497,533-champlain-st
nb,moncton,46.126412,-64.771171,716-elmwood-drive
nb,riverview,46.068516,-64.792462,264-coverdale-road
nb,moncton,46.109671,-64.830593,moncton-mall
nb,shediac,46.22542,-64.510235,628-main-st
nb,salisbury,46.050542,-65.059194,2983-fredericton-rd
nb,edmundston,47.369985,-68.324205,207-victoria-st
nb,fredericton,45.969075,-66.632041,540-union-st
nb,fredericton,45.937992,-66.659394,1250-prospect-st
nb,fredericton,45.935608,-66.665343,regent-mall
nb,oromocto,45.832212,-66.487975,2-commerce-dr
nb,miramichi,47.018764,-65.443184,200-king-street
nb,miramichi,46.989631,-65.575466,359-king-george-hwy
nb,rothesay,45.402705,-65.974108,163-hampton-rd
nb,saint-john,45.307431,-66.015687,mcallister-place
nb,saint-john,45.30949,-66.030115,499-rothesay-ave
nb,saint-john,45.282158,-66.070636,115-wellesley-ave
nb,st-stephen,45.20402,-67.2722,225-king-street
nb,sussex,45.72459,-65.522722,282-main-st-cru-3
nb,woodstock,46.159951,-67.592504,277-connell-street
nl,carbonear,47.722201,-53.237781,95-columbus-dr
nl,paradise,47.535155,-52.84817,1366-topsail-road
nl,st-johns,47.550916,-52.779731,20-kelsey-dr
nl,deer-lake,49.187976,-57.428086,11-trans-canada-hwy
nl,grand-falls-windsor,48.944744,-55.656071,8-cromer-ave
nl,happy-valley-goose-bay,53.298907,-60.324832,1-3-tenth-street
nl,st-johns,47.496156,-52.811205,2-8-great-southern-dr
nl,st-johnaposs,47.5612,-52.7547,avalon-mall
nl,st-johns,47.5941312,-52.7263051,273-portugal-cove-rd
ns,amherst,45.814242,-64.200637,26-robert-angus-dr
ns,antigonish,45.614758,-61.984494,155-church-st
ns,bridgewater,44.379736,-64.516412,474-la-have-st
ns,dartmouth,44.686016,-63.559616,21-micmac-blvd
ns,dartmouth,44.682349,-63.536241,162-main-st
ns,dartmouth,44.705522,-63.563958,50-foulis-row
ns,halifax,44.656032,-63.631448,3515-dutch-village-rd
ns,halifax,44.649266,-63.674812,188a-chain-lake-dr
ns,lower-sackville,44.771266,-63.694537,downsview-plaza
ns,fall-river,44.817606,-63.61131,3270-highway-2
ns,upper-tantallon,44.705463,-63.856603,6-westwood-blvd
ns,digby,44.618523,-65.765974,101-victoria-st
ns,greenwood,44.970187,-64.939885,1135-bridge-st
ns,new-minas,45.067898,-64.454921,9071-commercial-st
ns,new-glasgow,45.585322,-62.654141,85-westville-rd
ns,westville,45.576539,-62.726005,2500-truro-rd
ns,port-hawkesbury,45.617258,-61.357687,317-reeves-st
ns,stewiacke,45.138778,-63.362629,15-scotia-dr
ns,truro,45.36439,-63.273133,945-prince-st
ns,sydney,46.144753,-60.159083,430-grand-lake-rd
ns,sydney,46.111889,-60.219376,1070-kings-rd
ns,yarmouth,43.83535,-66.118381,31-john-st
on,ajax,43.842485,-79.027835,250-bayly-st-w
on,pickering,43.828292,-79.097597,1-1099-kingston-rd
on,whitby,43.883341,-78.925399,1003-dundas-st-e
on,whitby,43.917401,-78.94636,3975-garden-st
on,oshawa,43.879272,-78.878864,575-laval-dr
on,oshawa,43.891433,-78.860511,235-simcoe-st-s
on,toronto,43.818954,-79.185296,toronto-zoo
on,oshawa,43.925681,-78.876135,1050-simcoe-st-n
on,courtice,43.907343,-78.810367,1420-highway-2
on,markham,43.874602,-79.25904,6030-highway-7
on,scarborough,43.739552,-79.23691,2916-eglinton-ave-e
on,scarborough,43.722736,-79.235611,2882-kingston-rd
on,markham,43.842209,-79.305407,7708-kennedy-rd
on,toronto,43.767093,-79.281686,1910-kennedy-rd
on,unionville,43.867824,-79.312264,188-main-st-unit-1
on,scarborough,43.775959,-79.322085,2924-sheppard-ave
on,bowmanville,43.89672,-78.693704,2-spicer-square
on,scarborough,43.710366,-79.290704,625-pharmacy-avenue
on,scarborough,43.694482,-79.27695,10-danforth-road
on,port-perry,44.101591,-78.938627,1881-scugog-st
on,alexandria,45.295518,-74.626523,582-main-st
on,cornwall,45.034738,-74.739917,1307-pitt-st
qc,rigaud,45.479736,-74.289879,519-ch-j-rene-gauthier
on,hawkesbury,45.609315,-74.614506,76-main-st-w
qc,salaberry-de-valleyfield,45.256231,-74.133961,295-rue-victoria
on,alliston,44.151777,-79.87895,2-king-st-s
on,angus,44.32325,-79.887749,160-mill-st
on,barrie,44.368198,-79.66445,371-yonge-st
on,barrie,44.382137,-79.693526,103-bradford-st
on,keswick,44.211448,-79.465795,482-queensway-south-unit-1
on,bolton,43.871845,-79.728493,376-queen-st-s
on,newmarket,44.031562,-79.474389,16563-yonge-st
on,orangeville,43.901018,-80.117881,westside-business-centre
on,stayner,44.418257,-80.094842,7377-highway-26-e-unit-5
on,aurora,43.986758,-79.463023,265-edward-st
on,aurora,44.02985,-79.42217,40-melvin-robson-ave
on,amherstburg,42.1091,-83.11034,51-sandwich-st-s
on,windsor,42.283378,-83.054867,1818-huron-church-road
on,windsor,42.312576,-82.869806,green-valley-plaza
on,kingsville,42.051377,-82.737719,1774-division-rd-n
on,ancaster,43.22857,-79.9398,meadowslands-square
on,hamilton,43.229674,-79.847194,832-fennell-ave-e
on,hamilton,43.199,-79.841969,1070-stone-church-rd-e-unit-49
on,hamilton,43.255093,-79.831117,798-barton-st-e
on,hamilton,43.242512,-79.818846,1205-main-st-e
on,waterdown,43.328146,-79.899654,233-dundas-st-e
on,burlington,43.321475,-79.83364,585-plains-rd-e
on,hamilton,43.17479,-79.786344,2190-rymal-rd-e
on,caledonia,43.066169,-79.957133,216-argyle-st-s
on,stoney-creek,43.224894,-79.749226,981-queenston-rd-e
on,brantford,43.144908,-80.214847,930-colborne-st
on,brantford,43.168651,-80.276483,115-king-george-rd
on,brantford,43.13371,-80.27464,108-colborne-st-w-unit-c
on,burlington,43.372856,-79.760602,661-appleby-line
on,burlington,43.40975,-79.811313,3131-appleby-line
on,grimsby,43.206429,-79.598417,424-south-service-road-unit-r-14
on,cambridge,43.371255,-80.318093,258-water-st-n
on,brantford,43.167639,-80.379455,898-rest-acres-rd
on,cambridge,43.392618,-80.320402,cambridge-centre
on,oakville,43.463259,-79.744131,2460-neyagawa-blvd-unit-8
on,wasaga-beach,44.522977,-80.006176,288-main-st
on,collingwood,44.495103,-80.216175,316-hurontario-st
on,arnprior,45.433643,-76.344714,136-madawaska-blvd
on,renfrew,45.470011,-76.666984,401-obrien-rd
on,kanata,45.310234,-75.920256,499-terry-fox-drive-unit-110
on,carleton-place,45.129121,-76.123994,10497-highway-7
on,kanata,45.303723,-75.878857,415-hazeldean-road
on,richmond-hill,43.913684,-79.473249,380-tower-hill-rd-unit-14
on,vaughan,43.83721,-79.508634,9280-keele-st
on,thornhill,43.818151,-79.450636,rosedale-height-plaza
on,vaughan,43.828216,-79.557496,9200-weston-rd-unit-3
on,vaughan,43.787349,-79.559423,4100-highway-7
on,north-york,43.766937,-79.412037,5051-5061-yonge-street
on,downsview,43.755725,-79.44043,626-sheppard-ave-w
on,downsview,43.744924,-79.48743,1420-sheppard-avenue-west
on,etobicoke,43.736241,-79.565256,2620-islington-ave
on,aylmer,42.782236,-80.977528,25-progress-dr
on,st-thomas,42.775847,-81.160394,elgin-mall
on,tillsonburg,42.859428,-80.714313,51-simcoe-st
on,london,42.932109,-81.225631,1105-wellington-road
on,london,42.939655,-81.225515,993-wellington-rd
on,london,43.00602,-81.172498,1980-dundas-street-east
on,ingersoll,43.039654,-80.883076,5-charles-st-e
on,london,43.014551,-81.21194,1160-highbury-ave-n
on,london,42.987243,-81.286588,720-proudfoot-lane
on,london,43.026694,-81.278793,1680-richmond-street-north
on,london,43.04592,-81.2588,1820-adelaide-st-n-unit-3e
on,london,43.01038,-81.336874,1426-fanshawe-park-rd
on,bancroft,45.057345,-77.854042,30-hastings-st-n
on,orillia,44.602973,-79.425764,67-memorial-drive
on,beamsville,43.187472,-79.478327,5005-south-service-road
on,st-catharines,43.133237,-79.255122,222-pelham-rd
on,st-catharines,43.1782,-79.2407,292-geneva-st
on,st-catharines,43.136775,-79.225291,pen-centre-shopping-plaza
on,st-catharines,43.1435336,-79.2144718,415-merritt-st
on,welland,43.007261,-79.252156,589-niagara-st
on,niagara-falls,43.122224,-79.100134,3509-portage-road
on,niagara-falls,43.089373,-79.085372,5500-ferry-st
on,niagara-falls,43.083935,-79.080142,5200-robinson-st
on,niagara-falls,43.091636,-79.075009,4943-clifton-hill
on,port-colborne,42.901254,-79.242245,73-main-st-e
on,belleville,44.161871,-77.378787,74-dundas-street-east
on,trenton,44.1053594,-77.5544635,290-dundas-street-east
on,napanee,44.261269,-76.96158,14-richmond-blvd
on,brampton,43.772235,-79.689055,1965-cottrelle-blvd
on,brampton,43.7645628,-79.7483119,10510-torbram-rd
on,brampton,43.715519,-79.721112,25-peel-centre-drive
